"DateTime","Moc chwilowa PV"
"2021-01-01 10:11:13",0.001
"2021-01-01 10:16:13",0
"2021-01-01 10:30:01",0.043
"2021-01-01 10:36:13",0
"2021-01-01 10:40:01",0.158
"2021-01-01 10:47:25",0
"2021-01-01 10:52:25",0.12
"2021-01-01 10:56:13",0.142
"2021-01-01 11:01:13",0.132
"2021-01-01 11:05:01",0
"2021-01-01 11:11:13",0.097
"2021-01-01 11:17:25",0.097
"2021-01-01 11:20:01",0.231
"2021-01-01 11:26:13",0.087
"2021-01-01 11:32:25",0.097
"2021-01-01 11:36:13",0.174
"2021-01-01 11:41:13",0.12
"2021-01-01 11:45:01",0
"2021-01-01 11:51:13",0.194
"2021-01-01 11:56:13",0.108
"2021-01-01 12:00:01",0
"2021-01-01 12:07:25",0.17
"2021-01-01 12:10:01",0
"2021-01-01 12:16:13",0.194
"2021-01-01 12:21:13",0.108
"2021-01-01 12:25:01",0.174
"2021-01-01 12:31:13",0.097
"2021-01-01 12:35:01",0.158
"2021-01-01 12:42:25",0.081
"2021-01-01 12:45:01",0
"2021-01-01 12:50:01",0.108
"2021-01-01 12:56:13",0.097
"2021-01-01 13:02:25",0.106
"2021-01-01 13:05:01",0
"2021-01-01 13:11:13",0.194
"2021-01-01 13:17:25",0.087
"2021-01-01 13:22:25",0.12
"2021-01-01 13:25:01",0
"2021-01-01 13:30:01",0.132
"2021-01-01 13:36:13",0.097
"2021-01-01 13:40:01",0.158
"2021-01-01 13:45:01",0
"2021-01-01 13:50:01",0.12
"2021-01-01 13:56:13",0.087
"2021-01-01 14:01:13",0
"2021-01-02 08:51:12",0.001
"2021-01-02 08:56:12",0
"2021-01-02 09:01:12",0.12
"2021-01-02 09:06:12",0.12
"2021-01-02 09:10:00",0.158
"2021-01-02 09:16:12",0.087
"2021-01-02 09:20:00",0.158
"2021-01-02 09:26:12",0.203
"2021-01-02 09:30:00",0.158
"2021-01-02 09:36:12",0.29
"2021-01-02 09:40:00",0.158
"2021-01-02 09:46:12",0.281
"2021-01-02 09:51:12",0.132
"2021-01-02 09:56:12",0.24
"2021-01-02 10:00:00",0.158
"2021-01-02 10:05:00",0.228
"2021-01-02 10:11:12",0.106
"2021-01-02 10:16:12",0.12
"2021-01-02 10:21:12",0.12
"2021-01-02 10:26:12",0.228
"2021-01-02 10:30:00",0.489
"2021-01-02 10:35:00",0.228
"2021-01-02 10:41:12",0.397
"2021-01-02 10:46:12",0.36
"2021-01-02 10:51:12",0.468
"2021-01-02 10:56:12",0.372
"2021-01-02 11:00:00",0.158
"2021-01-02 11:06:12",0.387
"2021-01-02 11:10:00",0.158
"2021-01-02 11:15:00",0.228
"2021-01-02 11:21:12",0.3
"2021-01-02 11:26:12",0.108
"2021-01-02 11:30:00",0.158
"2021-01-02 11:35:00",0.132
"2021-01-02 11:41:12",0.194
"2021-01-02 11:46:12",0.12
"2021-01-02 11:51:12",0.24
"2021-01-02 11:56:12",0.24
"2021-01-02 12:00:00",0.158
"2021-01-02 12:06:13",0.29
"2021-01-02 12:11:13",0.36
"2021-01-02 12:15:01",0.316
"2021-01-02 12:21:13",0.29
"2021-01-02 12:25:01",0.316
"2021-01-02 12:31:13",0.194
"2021-01-02 12:36:13",0.228
"2021-01-02 12:41:13",0.12
"2021-01-02 12:46:13",0.252
"2021-01-02 12:51:13",0.12
"2021-01-02 12:56:13",0.108
"2021-01-02 13:01:13",0.12
"2021-01-02 13:06:13",0
"2021-01-02 13:17:25",0.059
"2021-01-02 13:21:13",0
"2021-01-02 14:10:01",0.012
"2021-01-02 14:15:01",0.12
"2021-01-02 14:20:01",0.12
"2021-01-02 14:25:01",0.108
"2021-01-02 14:30:01",0.132
"2021-01-02 14:35:01",0
"2021-01-03 08:51:13",0.001
"2021-01-03 08:55:01",0
"2021-01-03 09:01:13",0.097
"2021-01-03 09:06:13",0.228
"2021-01-03 09:10:01",0.158
"2021-01-03 09:16:13",0.106
"2021-01-03 09:20:01",0.158
"2021-01-03 09:26:13",0.194
"2021-01-03 09:31:13",0.24
"2021-01-03 09:35:01",0.316
"2021-01-03 09:40:01",0.228
"2021-01-03 09:46:13",0.397
"2021-01-03 09:50:01",0.3
"2021-01-03 09:56:13",0.3
"2021-01-03 10:01:13",0.108
"2021-01-03 10:05:01",0.332
"2021-01-03 10:11:13",0.29
"2021-01-03 10:15:01",0.474
"2021-01-03 10:21:13",0.281
"2021-01-03 10:26:13",0.372
"2021-01-03 10:31:13",0.348
"2021-01-03 10:36:13",0.252
"2021-01-03 10:40:01",0.316
"2021-01-03 10:46:13",0.387
"2021-01-03 10:51:13",0.348
"2021-01-03 10:55:01",0.489
"2021-01-03 11:01:13",0.29
"2021-01-03 11:06:13",0.468
"2021-01-03 11:11:13",0.372
"2021-01-03 11:15:01",0.458
"2021-01-03 11:20:01",0.492
"2021-01-03 11:26:13",0.387
"2021-01-03 11:30:01",0.474
"2021-01-03 11:36:13",0.581
"2021-01-03 11:41:13",0.468
"2021-01-03 11:46:13",0.372
"2021-01-03 11:50:01",0.474
"2021-01-03 11:55:01",0.588
"2021-01-03 12:01:13",0.484
"2021-01-03 12:05:01",0.489
"2021-01-03 12:12:25",0.486
"2021-01-03 12:16:12",0.476
"2021-01-03 12:20:01",0.314
"2021-01-03 12:26:12",0.388
"2021-01-03 12:30:01",0.314
"2021-01-03 12:36:12",0.388
"2021-01-03 12:41:13",0.478
"2021-01-03 12:45:01",0.316
"2021-01-03 12:51:13",0.484
"2021-01-03 12:55:00",0.301
"2021-01-03 13:00:01",0.371
"2021-01-03 13:06:12",0.184
"2021-01-03 13:10:01",0.33
"2021-01-03 13:15:01",0.24
"2021-01-03 13:20:01",0.228
"2021-01-03 13:27:25",0.17
"2021-01-03 13:32:25",0.24
"2021-01-03 13:36:12",0.143
"2021-01-03 13:41:12",0.252
"2021-01-03 13:47:24",0.194
"2021-01-03 13:52:24",0.228
"2021-01-03 13:55:01",0
"2021-01-03 14:00:01",0.252
"2021-01-03 14:05:01",0.12
"2021-01-03 14:10:01",0.12
"2021-01-03 14:15:01",0.108
"2021-01-03 14:20:01",0
"2021-01-03 14:25:01",0.132
"2021-01-03 14:30:01",0
"2021-01-04 08:36:13",0.001
"2021-01-04 08:40:01",0
"2021-01-04 09:11:13",0.019
"2021-01-04 09:16:13",0.12
"2021-01-04 09:20:01",0
"2021-01-04 09:25:01",0.24
"2021-01-04 09:31:13",0.097
"2021-01-04 09:36:13",0.12
"2021-01-04 09:41:13",0
"2021-01-04 09:46:13",0.12
"2021-01-04 09:50:01",0
"2021-01-04 09:56:13",0.087
"2021-01-04 10:01:13",0.12
"2021-01-04 10:05:01",0.174
"2021-01-04 10:10:01",0.12
"2021-01-04 10:17:25",0.154
"2021-01-04 10:21:13",0.158
"2021-01-04 10:26:13",0.132
"2021-01-04 10:31:13",0.12
"2021-01-04 10:36:13",0.12
"2021-01-04 10:41:13",0.12
"2021-01-04 10:46:13",0.108
"2021-01-04 10:51:13",0.132
"2021-01-04 10:56:13",0.12
"2021-01-04 11:00:01",0.158
"2021-01-04 11:06:13",0.097
"2021-01-04 11:11:13",0.108
"2021-01-04 11:15:01",0.158
"2021-01-04 11:20:01",0.132
"2021-01-04 11:25:01",0.12
"2021-01-04 11:30:01",0.12
"2021-01-04 11:35:01",0.228
"2021-01-04 11:41:13",0.106
"2021-01-04 11:46:13",0.24
"2021-01-04 11:51:13",0.12
"2021-01-04 11:55:01",0
"2021-01-04 12:02:25",0.162
"2021-01-04 12:06:12",0.159
"2021-01-04 12:11:12",0.24
"2021-01-04 12:17:24",0.184
"2021-01-04 12:20:00",0
"2021-01-04 12:27:24",0.251
"2021-01-04 12:30:00",0.208
"2021-01-04 12:37:24",0.17
"2021-01-04 12:42:25",0.239
"2021-01-04 12:46:12",0.301
"2021-01-04 12:51:12",0.132
"2021-01-04 12:56:12",0.24
"2021-01-04 13:01:12",0.228
"2021-01-04 13:07:24",0.203
"2021-01-04 13:11:12",0.158
"2021-01-04 13:16:12",0.24
"2021-01-04 13:21:12",0.108
"2021-01-04 13:25:00",0.174
"2021-01-04 13:32:25",0.162
"2021-01-04 13:36:12",0.159
"2021-01-04 13:40:00",0.142
"2021-01-04 13:45:01",0.132
"2021-01-04 13:50:00",0
"2021-01-05 09:41:13",0.001
"2021-01-05 09:46:13",0
"2021-01-05 09:56:13",0.06
"2021-01-05 10:01:13",0
"2021-01-05 10:05:01",0.158
"2021-01-05 10:11:13",0.087
"2021-01-05 10:16:13",0
"2021-01-05 10:21:13",0.12
"2021-01-05 10:26:13",0.132
"2021-01-05 10:31:13",0.12
"2021-01-05 10:36:13",0
"2021-01-05 10:40:01",0.158
"2021-01-05 10:45:01",0.108
"2021-01-05 10:51:13",0.097
"2021-01-05 10:55:01",0.174
"2021-01-05 11:01:13",0.097
"2021-01-05 11:05:01",0.158
"2021-01-05 11:11:13",0.097
"2021-01-05 11:16:13",0.108
"2021-01-05 11:21:13",0.132
"2021-01-05 11:26:15",0.119
"2021-01-05 11:31:13",0.121
"2021-01-05 11:35:01",0
"2021-01-05 11:41:13",0.184
"2021-01-05 11:46:13",0
"2021-01-05 11:51:13",0.12
"2021-01-05 11:56:13",0
"2021-01-05 12:00:01",0.174
"2021-01-05 12:05:00",0.12
"2021-01-05 12:12:24",0
"2021-01-05 12:21:12",0.068
"2021-01-05 12:26:12",0
"2021-01-05 12:30:01",0.157
"2021-01-05 12:36:13",0.194
"2021-01-05 12:41:12",0.361
"2021-01-05 12:45:00",0.316
"2021-01-05 12:50:00",0.24
"2021-01-05 12:56:12",0.281
"2021-01-05 13:01:12",0.132
"2021-01-05 13:06:13",0.12
"2021-01-05 13:10:00",0.159
"2021-01-05 13:17:24",0.154
"2021-01-05 13:20:00",0
"2021-01-05 13:25:00",0.252
"2021-01-05 13:30:00",0.12
"2021-01-05 13:36:12",0.097
"2021-01-05 13:42:24",0.194
"2021-01-05 13:46:12",0
"2021-01-05 13:51:12",0.24
"2021-01-05 13:55:00",0.158
"2021-01-05 14:00:00",0.108
"2021-01-05 14:05:01",0.12
"2021-01-05 14:10:00",0
"2021-01-06 09:06:12",0.001
"2021-01-06 09:11:13",0.12
"2021-01-06 09:15:01",0
"2021-01-06 09:21:12",0.097
"2021-01-06 09:26:12",0.12
"2021-01-06 09:31:13",0.108
"2021-01-06 09:35:01",0.174
"2021-01-06 09:41:13",0.097
"2021-01-06 09:45:01",0.158
"2021-01-06 09:51:13",0.097
"2021-01-06 09:56:13",0.108
"2021-01-06 10:00:01",0.174
"2021-01-06 10:06:12",0.194
"2021-01-06 10:11:13",0.227
"2021-01-06 10:16:12",0.253
"2021-01-06 10:21:13",0.12
"2021-01-06 10:25:01",0.3
"2021-01-06 10:31:13",0.203
"2021-01-06 10:35:01",0.316
"2021-01-06 10:40:01",0.228
"2021-01-06 10:45:01",0.252
"2021-01-06 10:51:13",0.281
"2021-01-06 10:56:13",0.252
"2021-01-06 11:01:13",0.24
"2021-01-06 11:06:12",0.229
"2021-01-06 11:10:01",0.173
"2021-01-06 11:16:12",0.194
"2021-01-06 11:21:13",0.227
"2021-01-06 11:26:13",0.252
"2021-01-06 11:30:01",0.158
"2021-01-06 11:36:13",0.281
"2021-01-06 11:40:01",0.332
"2021-01-06 11:47:25",0.235
"2021-01-06 11:51:13",0.174
"2021-01-06 11:56:13",0.12
"2021-01-06 12:01:12",0.241
"2021-01-06 12:06:13",0.108
"2021-01-06 12:11:12",0.253
"2021-01-06 12:16:13",0.239
"2021-01-06 12:20:00",0.301
"2021-01-06 12:26:12",0.203
"2021-01-06 12:31:12",0.24
"2021-01-06 12:35:01",0.141
"2021-01-06 12:41:12",0.204
"2021-01-06 12:46:12",0.24
"2021-01-06 12:51:12",0.108
"2021-01-06 12:55:00",0.174
"2021-01-06 13:01:12",0.194
"2021-01-06 13:06:12",0.12
"2021-01-06 13:11:12",0.108
"2021-01-06 13:16:12",0.12
"2021-01-06 13:22:24",0.106
"2021-01-06 13:26:12",0.158
"2021-01-06 13:31:12",0
"2021-01-06 13:36:12",0.12
"2021-01-06 13:40:00",0.142
"2021-01-06 13:46:12",0.097
"2021-01-06 13:51:12",0.132
"2021-01-06 13:55:00",0.158
"2021-01-06 14:00:00",0
"2021-01-06 14:05:00",0.12
"2021-01-06 14:10:00",0.12
"2021-01-06 14:15:00",0
"2021-01-06 14:20:00",0.108
"2021-01-06 14:25:00",0
"2021-01-06 14:40:00",0.044
"2021-01-06 14:46:12",0
"2021-01-07 09:26:12",0.001
"2021-01-07 09:30:00",0
"2021-01-07 09:46:12",0.037
"2021-01-07 09:50:00",0
"2021-01-07 09:55:00",0.12
"2021-01-07 10:01:12",0.087
"2021-01-07 10:06:12",0.12
"2021-01-07 10:10:00",0.174
"2021-01-07 10:16:12",0.194
"2021-01-07 10:20:00",0.158
"2021-01-07 10:26:12",0.194
"2021-01-07 10:30:00",0
"2021-01-07 10:35:00",0.24
"2021-01-07 10:40:00",0.12
"2021-01-07 10:45:00",0.24
"2021-01-07 10:51:13",0.579
"2021-01-07 10:56:12",0.722
"2021-01-07 11:01:12",0.348
"2021-01-07 11:06:12",0.492
"2021-01-07 11:11:12",0.36
"2021-01-07 11:16:12",0.24
"2021-01-07 11:20:00",0.158
"2021-01-07 11:26:12",0.194
"2021-01-07 11:30:00",0.316
"2021-01-07 11:36:12",0.097
"2021-01-07 11:41:12",0.108
"2021-01-07 11:45:01",0.33
"2021-01-07 11:51:12",0.378
"2021-01-07 11:56:12",0.252
"2021-01-07 12:00:01",0.299
"2021-01-07 12:06:13",0.203
"2021-01-07 12:11:13",0.12
"2021-01-07 12:15:01",0.158
"2021-01-07 12:20:01",0.228
"2021-01-07 12:27:25",0.17
"2021-01-07 12:31:13",0.458
"2021-01-07 12:36:13",0.372
"2021-01-07 12:41:13",0.348
"2021-01-07 12:45:01",0.489
"2021-01-07 12:51:13",0.184
"2021-01-07 12:56:13",0.252
"2021-01-07 13:01:13",0.12
"2021-01-07 13:05:01",0.158
"2021-01-07 13:11:13",0.184
"2021-01-07 13:15:01",0.174
"2021-01-07 13:21:13",0.194
"2021-01-07 13:26:13",0
"2021-01-07 13:30:01",0.142
